      Activity_2-4275  [001]   206.874711: sched_wakeup:         ksoftirqd/1:32 [120] CPU:001
      Activity_2-4275  [001]   206.876195: sched_wakeup:         ktimers/1:31 [98] CPU:001
      Activity_2-4275  [001]   206.925031: sched_wakeup:         irq/168-nvme0q8:295 [49] CPU:006
      Activity_2-4275  [001]   206.925357: sched_wakeup:         irq/168-nvme0q8:295 [49] CPU:006
      Activity_2-4275  [001]   206.925692: sched_wakeup:         rcuc/1:30 [98] CPU:001
      Activity_2-4275  [001]   207.184704: print:                tracing_mark_write: --- COMPUTATION_END: Activity_2 ---
      Activity_2-4275  [001]   207.184712: sched_wakeup:         kworker/u16:1:94 [120] CPU:002
      Activity_2-4275  [001]   207.184735: sched_switch:         Activity_2:4275 [80] S ==> ktimers/1:31 [98]
          <idle>-0     [000]   207.273817: sched_wakeup:         Activity_1:4274 [98] CPU:000
          <idle>-0     [000]   207.273828: sched_switch:         swapper/0:0 [120] R ==> Activity_1:4274 [98]
      Activity_1-4274  [000]   207.273854: print:                tracing_mark_write: === PERIOD_START: Activity_1 (Period=1800 ms, Deadline=1800) ===
      Activity_1-4274  [000]   207.275698: sched_wakeup:         ksoftirqd/0:16 [120] CPU:000
      Activity_1-4274  [000]   207.276402: sched_wakeup:         ktimers/0:17 [98] CPU:000
          <idle>-0     [001]   207.673818: sched_wakeup:         Activity_2:4275 [80] CPU:001
          <idle>-0     [001]   207.673819: sched_switch:         swapper/1:0 [120] R ==> Activity_2:4275 [80]
      Activity_2-4275  [001]   207.673824: print:                tracing_mark_write: === PERIOD_START: Activity_2 (Period=800 ms, Deadline=800) ===
      Activity_2-4275  [001]   207.674691: sched_wakeup:         ksoftirqd/1:32 [120] CPU:001
      Activity_2-4275  [001]   207.682690: sched_wakeup:         ktimers/1:31 [98] CPU:001
      Activity_1-4274  [000]   207.743691: sched_wakeup:         rcuc/0:21 [98] CPU:000
      Activity_2-4275  [001]   207.743691: sched_wakeup:         rcuc/1:30 [98] CPU:001
      Activity_1-4274  [000]   207.900401: print:                tracing_mark_write: --- COMPUTATION_END: Activity_1 ---
      Activity_1-4274  [000]   207.900410: sched_wakeup:         kworker/u16:6:554 [120] CPU:006
      Activity_1-4274  [000]   207.900417: sched_switch:         Activity_1:4274 [98] S ==> ktimers/0:17 [98]
