
[!] Stream Eventi Live in esecuzione...

================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
---------------------------------------------------------------------------

..............................................................
1002.244299     | [NUOVO PERIODO] Task Activity_1 Inizia [Period=1800 ms, Deadline=1800]

..............................................................
1002.553635     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.553763     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.553809     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.553810     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.553955     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.554099     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.554100     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.554229     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.554273     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.554274     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.554450     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.554497     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.554498     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.554626     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.554671     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.554671     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.554806     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.554957     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.554958     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.555086     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.555131     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.555131     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.555267     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.555336     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.555336     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.555469     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.555514     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.555515     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.555654     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.555970     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.555971     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.556099     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.556144     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.556145     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.556290     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.556427     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.556429     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.556593     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.556637     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.556638     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.556766     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.556811     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.556811     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.556975     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.557020     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.557021     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.557149     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.557194     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.557195     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.557380     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.557443     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.557444     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.557556     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
