
================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
3184.053380     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.053568     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.053570     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.053648     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.053968     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.053969     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.054251     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.062323     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.062324     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.062612     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.062861     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.062861     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.063087     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.063372     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.063373     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.063607     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.072454     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.072455     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.072962     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.075562     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.075563     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.076693     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.076752     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.076753     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.077043     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.077219     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.077221     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.077302     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.077442     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.077443     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.077475     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.077629     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
