task,type,start,end,duration_ms
ksoftirqd/1,RUN,1614.719209,1614.719219,0.010000
ksoftirqd/1,RUN,1614.720218,1614.720226,0.008000
ksoftirqd/1,RUN,1615.410432,1615.410441,0.009000
ksoftirqd/1,RUN,1615.712459,1615.712467,0.008000
ksoftirqd/1,RUN,1615.818478,1615.818482,0.004000
ksoftirqd/1,RUN,1615.919531,1615.919538,0.007000
ksoftirqd/1,SLEEP,1614.719219,1614.720218,0.999000
ksoftirqd/1,SLEEP,1614.720226,1615.410432,690.206000
ksoftirqd/1,SLEEP,1615.410441,1615.712459,302.018000
ksoftirqd/1,SLEEP,1615.712467,1615.818478,106.011000
ksoftirqd/1,SLEEP,1615.818482,1615.919531,101.049000
kworker/1:1H,RUN,1615.799397,1615.799419,0.022000
kworker/1:1H,RUN,1615.815903,1615.815925,0.022000
kworker/1:1H,RUN,1615.932638,1615.932653,0.015000
kworker/1:4,RUN,1614.766240,1614.766249,0.009000
kworker/1:4,RUN,1614.830220,1614.830228,0.008000
kworker/1:4,RUN,1614.958307,1614.958315,0.008000
kworker/1:4,RUN,1615.214355,1615.214363,0.008000
kworker/1:4,RUN,1615.410422,1615.410432,0.010000
kworker/1:4,RUN,1615.579668,1615.579682,0.014000
kworker/1:4,RUN,1615.790493,1615.790500,0.007000
kworker/1:4,RUN,1615.919521,1615.919531,0.010000
Ciao,RUN,1614.668139,1614.668157,0.018000
Ciao,RUN,1614.668210,1614.668366,0.156000
Ciao,RUN,1614.903606,1614.918435,14.829000
Ciao,RUN,1615.002313,1615.168496,166.183000
Ciao,RUN,1615.252797,1615.271701,18.904000
Ciao,RUN,1615.272098,1615.279307,7.209000
Ciao,RUN,1616.277920,1616.278093,0.173000
Ciao,PREEMPT,1614.668157,1614.668210,0.053000
Ciao,PREEMPT,1614.668366,1614.903606,235.240000
Ciao,PREEMPT,1614.918435,1615.002313,83.878000
Ciao,PREEMPT,1615.168496,1615.252797,84.301000
Ciao,PREEMPT,1615.271701,1615.272098,0.397000
Ciao,SLEEP,1615.279307,1616.277920,998.613000
Ciao,MARKER_PERIOD_START_Ciao,1614.668269,1614.668269,0.0
Ciao,MARKER_FUNCTION_START_Ciao,1614.668271,1614.668271,0.0
Ciao,MARKER_FUNCTION_END_Ciao,1615.279295,1615.279295,0.0
Ciao,MARKER_SLEEP_START_Ciao,1615.279304,1615.279304,0.0
altitudine,RUN,1614.668324,1614.668337,0.013000
altitudine,RUN,1614.668366,1614.778553,110.187000
altitudine,RUN,1614.918435,1615.001737,83.302000
altitudine,RUN,1615.168496,1615.252207,83.711000
altitudine,RUN,1615.418651,1615.501530,82.879000
altitudine,RUN,1615.668634,1615.785799,117.165000
altitudine,RUN,1615.918682,1616.031459,112.777000
altitudine,RUN,1616.168750,1616.277300,108.550000
altitudine,PREEMPT,1614.668337,1614.668366,0.029000
altitudine,SLEEP,1614.778553,1614.918435,139.882000
altitudine,SLEEP,1615.001737,1615.168496,166.759000
altitudine,SLEEP,1615.252207,1615.418651,166.444000
altitudine,SLEEP,1615.501530,1615.668634,167.104000
altitudine,SLEEP,1615.785799,1615.918682,132.883000
altitudine,SLEEP,1616.031459,1616.168750,137.291000
altitudine,MARKER_PERIOD_START_altitudine,1614.668372,1614.668372,0.0
altitudine,MARKER_FUNCTION_START_altitudine,1614.668373,1614.668373,0.0
altitudine,MARKER_FUNCTION_END_altitudine,1614.778492,1614.778492,0.0
altitudine,MARKER_SLEEP_START_altitudine,1614.778549,1614.778549,0.0
altitudine,MARKER_PERIOD_END_altitudine,1614.918437,1614.918437,0.0
altitudine,MARKER_PERIOD_START_altitudine,1614.918438,1614.918438,0.0
altitudine,MARKER_FUNCTION_START_altitudine,1614.918438,1614.918438,0.0
altitudine,MARKER_FUNCTION_END_altitudine,1615.001725,1615.001725,0.0
altitudine,MARKER_SLEEP_START_altitudine,1615.001735,1615.001735,0.0
altitudine,MARKER_PERIOD_END_altitudine,1615.168498,1615.168498,0.0
altitudine,MARKER_PERIOD_START_altitudine,1615.168499,1615.168499,0.0
altitudine,MARKER_FUNCTION_START_altitudine,1615.168500,1615.168500,0.0
altitudine,MARKER_FUNCTION_END_altitudine,1615.252189,1615.252189,0.0
altitudine,MARKER_SLEEP_START_altitudine,1615.252203,1615.252203,0.0
altitudine,MARKER_PERIOD_END_altitudine,1615.418662,1615.418662,0.0
altitudine,MARKER_PERIOD_START_altitudine,1615.418663,1615.418663,0.0
altitudine,MARKER_FUNCTION_START_altitudine,1615.418669,1615.418669,0.0
altitudine,MARKER_FUNCTION_END_altitudine,1615.501510,1615.501510,0.0
altitudine,MARKER_SLEEP_START_altitudine,1615.501526,1615.501526,0.0
altitudine,MARKER_PERIOD_END_altitudine,1615.668651,1615.668651,0.0
altitudine,MARKER_PERIOD_START_altitudine,1615.668653,1615.668653,0.0
altitudine,MARKER_FUNCTION_START_altitudine,1615.668655,1615.668655,0.0
altitudine,MARKER_FUNCTION_END_altitudine,1615.785779,1615.785779,0.0
altitudine,MARKER_SLEEP_START_altitudine,1615.785795,1615.785795,0.0
altitudine,MARKER_PERIOD_END_altitudine,1615.918689,1615.918689,0.0
altitudine,MARKER_PERIOD_START_altitudine,1615.918690,1615.918690,0.0
altitudine,MARKER_FUNCTION_START_altitudine,1615.918691,1615.918691,0.0
altitudine,MARKER_FUNCTION_END_altitudine,1616.031414,1616.031414,0.0
altitudine,MARKER_SLEEP_START_altitudine,1616.031452,1616.031452,0.0
altitudine,MARKER_PERIOD_END_altitudine,1616.168767,1616.168767,0.0
altitudine,MARKER_PERIOD_START_altitudine,1616.168769,1616.168769,0.0
altitudine,MARKER_FUNCTION_START_altitudine,1616.168771,1616.168771,0.0
rollio,RUN,1614.668439,1614.668451,0.012000
rollio,RUN,1614.779237,1614.862100,82.863000
rollio,RUN,1614.862556,1614.903606,41.050000
rollio,RUN,1615.279374,1615.374347,94.973000
rollio,RUN,1615.374894,1615.403872,28.978000
rollio,RUN,1615.786369,1615.826005,39.636000
rollio,RUN,1615.826008,1615.886125,60.117000
rollio,RUN,1615.886642,1615.914701,28.059000
rollio,RUN,1616.277907,1616.277920,0.013000
rollio,PREEMPT,1614.668451,1614.779237,110.786000
rollio,PREEMPT,1614.862100,1614.862556,0.456000
rollio,SLEEP,1614.903606,1615.279374,375.768000
rollio,PREEMPT,1615.374347,1615.374894,0.547000
rollio,SLEEP,1615.403872,1615.786369,382.497000
rollio,PREEMPT,1615.826005,1615.826008,0.003000
rollio,PREEMPT,1615.886125,1615.886642,0.517000
rollio,SLEEP,1615.914701,1616.277907,363.206000
rollio,MARKER_PERIOD_START_rollio,1614.779242,1614.779242,0.0
rollio,MARKER_FUNCTION_START_rollio,1614.779243,1614.779243,0.0
rollio,MARKER_FUNCTION_END_rollio,1614.903593,1614.903593,0.0
rollio,MARKER_SLEEP_START_rollio,1614.903604,1614.903604,0.0
rollio,MARKER_PERIOD_END_rollio,1615.279377,1615.279377,0.0
rollio,MARKER_PERIOD_START_rollio,1615.279378,1615.279378,0.0
rollio,MARKER_FUNCTION_START_rollio,1615.279379,1615.279379,0.0
rollio,MARKER_FUNCTION_END_rollio,1615.403859,1615.403859,0.0
rollio,MARKER_SLEEP_START_rollio,1615.403869,1615.403869,0.0
rollio,MARKER_PERIOD_END_rollio,1615.786372,1615.786372,0.0
rollio,MARKER_PERIOD_START_rollio,1615.786373,1615.786373,0.0
rollio,MARKER_FUNCTION_START_rollio,1615.786373,1615.786373,0.0
rollio,MARKER_FUNCTION_END_rollio,1615.914684,1615.914684,0.0
rollio,MARKER_SLEEP_START_rollio,1615.914698,1615.914698,0.0
