cpus=8
          app10f-25503 [002]  7767.712323: sched_switch:         trace-cmd:25503 [120] D ==> swapper/2:0 [120]
          <idle>-0     [007]  7767.726459: sched_wakeup:         gdbus:3200 [120] CPU:007
          <idle>-0     [007]  7767.726460: sched_switch:         swapper/7:0 [120] R ==> gdbus:3200 [120]
           gdbus-3200  [007]  7767.726481: sched_switch:         gdbus:3200 [120] S ==> swapper/7:0 [120]
          <idle>-0     [007]  7767.726512: sched_wakeup:         gdbus:3200 [120] CPU:007
          <idle>-0     [007]  7767.726512: sched_switch:         swapper/7:0 [120] R ==> gdbus:3200 [120]
     ibus-daemon-3038  [006]  7767.726514: sched_switch:         ibus-daemon:3038 [120] S ==> swapper/6:0 [120]
          <idle>-0     [006]  7767.726525: sched_wakeup:         ibus-daemon:3038 [120] CPU:006
          <idle>-0     [006]  7767.726525: sched_switch:         swapper/6:0 [120] R ==> ibus-daemon:3038 [120]
     ibus-daemon-3038  [006]  7767.726529: sched_switch:         ibus-daemon:3038 [120] S ==> swapper/6:0 [120]
          <idle>-0     [002]  7767.726555: sched_wakeup:         gdbus:3373 [120] CPU:002
          <idle>-0     [002]  7767.726556: sched_switch:         swapper/2:0 [120] R ==> gdbus:3373 [120]
           gdbus-3200  [007]  7767.726566: sched_switch:         gdbus:3200 [120] S ==> swapper/7:0 [120]
          <idle>-0     [006]  7767.726623: sched_wakeup:         ibus-engine-sim:3355 [120] CPU:006
          <idle>-0     [006]  7767.726624: sched_switch:         swapper/6:0 [120] R ==> ibus-engine-sim:3355 [120]
           gdbus-3373  [002]  7767.726633: sched_switch:         gdbus:3373 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  7767.726660: sched_wakeup:         gdbus:3373 [120] CPU:002
          <idle>-0     [002]  7767.726661: sched_switch:         swapper/2:0 [120] R ==> gdbus:3373 [120]
 ibus-engine-sim-3355  [006]  7767.726665: sched_switch:         ibus-engine-sim:3355 [120] S ==> swapper/6:0 [120]
          <idle>-0     [007]  7767.726672: sched_wakeup:         gdbus:3200 [120] CPU:007
          <idle>-0     [007]  7767.726673: sched_switch:         swapper/7:0 [120] R ==> gdbus:3200 [120]
           gdbus-3373  [002]  7767.726673: sched_switch:         gdbus:3373 [120] S ==> swapper/2:0 [120]
          <idle>-0     [006]  7767.726724: sched_wakeup:         ibus-daemon:3038 [120] CPU:006
          <idle>-0     [006]  7767.726724: sched_switch:         swapper/6:0 [120] R ==> ibus-daemon:3038 [120]
           gdbus-3200  [007]  7767.726743: sched_switch:         gdbus:3200 [120] S ==> swapper/7:0 [120]
          <idle>-0     [007]  7767.726746: sched_wakeup:         gdbus:3200 [120] CPU:007
          <idle>-0     [007]  7767.726747: sched_switch:         swapper/7:0 [120] R ==> gdbus:3200 [120]
     ibus-daemon-3038  [006]  7767.726754: sched_switch:         ibus-daemon:3038 [120] S ==> swapper/6:0 [120]
          <idle>-0     [006]  7767.726756: sched_wakeup:         ibus-daemon:3038 [120] CPU:006
          <idle>-0     [006]  7767.726757: sched_switch:         swapper/6:0 [120] R ==> ibus-daemon:3038 [120]
     ibus-daemon-3038  [006]  7767.726760: sched_switch:         ibus-daemon:3038 [120] S ==> swapper/6:0 [120]
          <idle>-0     [002]  7767.726776: sched_wakeup:         gdbus:2900 [120] CPU:002
          <idle>-0     [002]  7767.726777: sched_switch:         swapper/2:0 [120] R ==> gdbus:2900 [120]
           gdbus-3200  [007]  7767.726787: sched_switch:         gdbus:3200 [120] S ==> swapper/7:0 [120]
          <idle>-0     [005]  7767.726828: sched_wakeup:         gnome-shell:2882 [120] CPU:005
          <idle>-0     [005]  7767.726829: sched_switch:         swapper/5:0 [120] R ==> gnome-shell:2882 [120]
           gdbus-2900  [002]  7767.726834: sched_switch:         gdbus:2900 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  7767.726943: sched_wakeup:         gnome-terminal-:24413 [120] CPU:002
          <idle>-0     [002]  7767.726943: sched_switch:         swapper/2:0 [120] R ==> gnome-terminal-:24413 [120]
     gnome-shell-2882  [005]  7767.726951: sched_switch:         gnome-shell:2882 [120] S ==> swapper/5:0 [120]
          <idle>-0     [005]  7767.727055: sched_wakeup:         gnome-shell:2882 [120] CPU:005
          <idle>-0     [005]  7767.727056: sched_switch:         swapper/5:0 [120] R ==> gnome-shell:2882 [120]
 gnome-terminal--24413 [002]  7767.727062: sched_switch:         gnome-terminal-:24413 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  7767.727082: sched_wakeup:         WaylandProxy:3990 [120] CPU:002
          <idle>-0     [002]  7767.727082: sched_switch:         swapper/2:0 [120] R ==> WaylandProxy:3990 [120]
     gnome-shell-2882  [005]  7767.727090: sched_switch:         gnome-shell:2882 [120] S ==> swapper/5:0 [120]
          <idle>-0     [005]  7767.727094: sched_wakeup:         firefox:3893 [120] CPU:005
    WaylandProxy-3990  [002]  7767.727095: sched_switch:         WaylandProxy:3990 [120] S ==> swapper/2:0 [120]
          <idle>-0     [005]  7767.727095: sched_switch:         swapper/5:0 [120] R ==> firefox:3893 [120]
          <idle>-0     [007]  7767.727114: sched_wakeup:         gitkraken:6724 [120] CPU:007
          <idle>-0     [007]  7767.727116: sched_switch:         swapper/7:0 [120] R ==> gitkraken:6724 [120]
          <idle>-0     [004]  7767.727134: sched_wakeup:         IPC I/O Child:4938 [120] CPU:004
          <idle>-0     [004]  7767.727135: sched_switch:         swapper/4:0 [120] R ==> IPC I/O Child:4938 [120]
          <idle>-0     [002]  7767.727137: sched_wakeup:         WaylandProxy:3990 [120] CPU:002
          <idle>-0     [002]  7767.727138: sched_switch:         swapper/2:0 [120] R ==> WaylandProxy:3990 [120]
         firefox-3893  [005]  7767.727139: sched_switch:         firefox:3893 [120] S ==> swapper/5:0 [120]
          <idle>-0     [006]  7767.727142: sched_wakeup:         gitkraken:6725 [120] CPU:006
       gitkraken-6724  [007]  7767.727142: sched_switch:         gitkraken:6724 [120] S ==> swapper/7:0 [120]
          <idle>-0     [006]  7767.727143: sched_switch:         swapper/6:0 [120] R ==> gitkraken:6725 [120]
          <idle>-0     [005]  7767.727144: sched_wakeup:         gnome-shell:2882 [120] CPU:005
          <idle>-0     [005]  7767.727145: sched_switch:         swapper/5:0 [120] R ==> gnome-shell:2882 [120]
    WaylandProxy-3990  [002]  7767.727145: sched_switch:         WaylandProxy:3990 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  7767.727156: sched_wakeup:         Isolated Web Co:4930 [120] CPU:002
          <idle>-0     [002]  7767.727157: sched_switch:         swapper/2:0 [120] R ==> Isolated Web Co:4930 [120]
   IPC I/O Child-4938  [004]  7767.727161: sched_switch:         IPC I/O Child:4938 [120] S ==> swapper/4:0 [120]
 Isolated Web Co-4930  [002]  7767.727207: sched_switch:         Isolated Web Co:4930 [120] S ==> swapper/2:0 [120]
     gnome-shell-2882  [005]  7767.727226: sched_switch:         gnome-shell:2882 [120] S ==> swapper/5:0 [120]
          <idle>-0     [002]  7767.727336: sched_wakeup:         rcu_preempt:15 [120] CPU:002
          <idle>-0     [002]  7767.727338: sched_switch:         swapper/2:0 [120] R ==> rcu_preempt:15 [120]
     rcu_preempt-15    [002]  7767.727341: sched_switch:         rcu_preempt:15 [120] I ==> swapper/2:0 [120]
          <idle>-0     [007]  7767.727343: sched_wakeup:         rcu_tasks_trace:67 [120] CPU:007
          <idle>-0     [007]  7767.727344: sched_switch:         swapper/7:0 [120] R ==> rcu_tasks_trace:67 [120]
 rcu_tasks_trace-67    [007]  7767.727346: sched_switch:         rcu_tasks_trace:67 [120] I ==> swapper/7:0 [120]
       gitkraken-6725  [006]  7767.727574: sched_switch:         gitkraken:6725 [120] S ==> swapper/6:0 [120]
          <idle>-0     [007]  7767.727575: sched_wakeup:         gitkraken:6724 [120] CPU:007
          <idle>-0     [007]  7767.727577: sched_switch:         swapper/7:0 [120] R ==> gitkraken:6724 [120]
       gitkraken-6724  [007]  7767.727591: sched_switch:         gitkraken:6724 [120] S ==> swapper/7:0 [120]
          <idle>-0     [005]  7767.728065: sched_wakeup:         gnome-shell:2882 [120] CPU:005
          <idle>-0     [005]  7767.728066: sched_switch:         swapper/5:0 [120] R ==> gnome-shell:2882 [120]
     gnome-shell-2882  [005]  7767.728141: sched_switch:         gnome-shell:2882 [120] S ==> swapper/5:0 [120]
          <idle>-0     [006]  7767.731569: sched_switch:         swapper/6:0 [120] R ==> gitkraken:25506 [120]
       gitkraken-6668  [003]  7767.731572: sched_switch:         gitkraken:6668 [120] S ==> swapper/3:0 [120]
          <idle>-0     [005]  7767.732331: sched_wakeup:         VizCompositorTh:6642 [120] CPU:005
          <idle>-0     [005]  7767.732333: sched_switch:         swapper/5:0 [120] R ==> VizCompositorTh:6642 [120]
          <idle>-0     [003]  7767.732357: sched_wakeup:         migration/5:47 [0] CPU:005
 VizCompositorTh-6642  [005]  7767.732359: sched_switch:         VizCompositorTh:6642 [120] R ==> migration/5:47 [0]
