
[!] In attesa dello stream /sys/kernel/debug/tracing/trace_pipe...

================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
2232.379436     | [DISPATCH] Task Activity_1 prende la CPU
2232.379485     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 957.728000 ms)
2232.379642     | [DISPATCH] Task Activity_1 prende la CPU
2232.379690     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 957.776000 ms)
2232.379853     | [DISPATCH] Task Activity_1 prende la CPU
2232.379935     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 957.858000 ms)
2232.380092     | [DISPATCH] Task Activity_1 prende la CPU
2232.380140     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 957.906000 ms)
2232.380295     | [DISPATCH] Task Activity_1 prende la CPU
2232.380364     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 957.975000 ms)
2232.380497     | [DISPATCH] Task Activity_1 prende la CPU
2232.380773     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 958.251000 ms)
2232.380915     | [DISPATCH] Task Activity_1 prende la CPU
2232.380963     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 958.299000 ms)
2232.381127     | [DISPATCH] Task Activity_1 prende la CPU
2232.381204     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 958.376000 ms)
2232.381358     | [DISPATCH] Task Activity_1 prende la CPU
2232.381416     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 958.434000 ms)
2232.381581     | [DISPATCH] Task Activity_1 prende la CPU
2232.381655     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 958.508000 ms)
2232.381802     | [DISPATCH] Task Activity_1 prende la CPU
2232.381860     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 958.566000 ms)
2232.382018     | [DISPATCH] Task Activity_1 prende la CPU
2232.382229     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 958.777000 ms)
2232.382372     | [DISPATCH] Task Activity_1 prende la CPU
2232.382435     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 958.840000 ms)
2232.382613     | [DISPATCH] Task Activity_1 prende la CPU
2232.382688     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 958.915000 ms)
2232.382842     | [DISPATCH] Task Activity_1 prende la CPU
2232.383084     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 959.157000 ms)
2232.383259     | [DISPATCH] Task Activity_1 prende la CPU
2232.383390     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 959.288000 ms)
2232.383549     | [DISPATCH] Task Activity_1 prende la CPU
2232.383595     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 959.334000 ms)
2232.383738     | [DISPATCH] Task Activity_1 prende la CPU
2232.383940     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 959.536000 ms)
2232.384108     | [DISPATCH] Task Activity_1 prende la CPU
2232.384159     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 959.587000 ms)
2232.384331     | [DISPATCH] Task Activity_1 prende la CPU
2232.384409     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 959.665000 ms)
2232.384565     | [DISPATCH] Task Activity_1 prende la CPU
2232.384613     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 959.713000 ms)
2232.384774     | [DISPATCH] Task Activity_1 prende la CPU
2232.384972     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 959.911000 ms)
2232.385128     | [DISPATCH] Task Activity_1 prende la CPU
2232.385175     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 959.958000 ms)
2232.385319     | [DISPATCH] Task Activity_1 prende la CPU
2232.385330     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 959.969000 ms)
2232.385469     | [DISPATCH] Task Activity_1 prende la CPU
2232.386499     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 960.999000 ms)
2232.386653     | [DISPATCH] Task Activity_1 prende la CPU
2232.386700     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 961.046000 ms)
2232.386842     | [DISPATCH] Task Activity_1 prende la CPU
2232.386919     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 961.123000 ms)
2232.387066     | [DISPATCH] Task Activity_1 prende la CPU
