task,type,start,end,duration_ms
Activity_1,RUN,5941.224250,5941.224284,0.034000
Activity_1,RUN,5941.224389,5941.262336,37.947000
Activity_1,RUN,5941.262391,5941.274613,12.222000
Activity_1,RUN,5941.274716,5941.274804,0.088000
Activity_1,RUN,5941.274835,5941.275151,0.316000
Activity_1,RUN,5941.275222,5941.276483,1.261000
Activity_1,RUN,5941.276520,5941.291703,15.183000
Activity_1,RUN,5941.291737,5941.301400,9.663000
Activity_1,RUN,5941.301432,5941.301525,0.093000
Activity_1,RUN,5941.301608,5941.319792,18.184000
Activity_1,RUN,5941.319846,5941.322467,2.621000
Activity_1,RUN,5941.322535,5941.324175,1.640000
Activity_1,RUN,5941.324209,5941.324535,0.326000
Activity_1,RUN,5941.324572,5941.341721,17.149000
Activity_1,RUN,5941.341755,5941.343975,2.220000
Activity_1,RUN,5941.344012,5941.345055,1.043000
Activity_1,RUN,5941.345122,5941.364858,19.736000
Activity_1,RUN,5941.364896,5941.415659,50.763000
Activity_1,RUN,5941.415718,5941.430592,14.874000
Activity_1,RUN,5941.430679,5941.430825,0.146000
Activity_1,RUN,5941.430855,5941.431156,0.301000
Activity_1,RUN,5941.431193,5941.431197,0.004000
Activity_1,RUN,5941.431224,5941.431749,0.525000
Activity_1,RUN,5941.431786,5941.432259,0.473000
Activity_1,RUN,5941.432283,5941.441352,9.069000
Activity_1,RUN,5941.441389,5941.467227,25.838000
Activity_1,RUN,5943.018094,5943.018447,0.353000
Activity_1,SLEEP,5941.224284,5941.224389,0.105000
Activity_1,PREEMPT,5941.262336,5941.262391,0.055000
Activity_1,PREEMPT,5941.274613,5941.274716,0.103000
Activity_1,PREEMPT,5941.274804,5941.274835,0.031000
Activity_1,PREEMPT,5941.275151,5941.275222,0.071000
Activity_1,PREEMPT,5941.276483,5941.276520,0.037000
Activity_1,PREEMPT,5941.291703,5941.291737,0.034000
Activity_1,PREEMPT,5941.301400,5941.301432,0.032000
Activity_1,PREEMPT,5941.301525,5941.301608,0.083000
Activity_1,PREEMPT,5941.319792,5941.319846,0.054000
Activity_1,PREEMPT,5941.322467,5941.322535,0.068000
Activity_1,PREEMPT,5941.324175,5941.324209,0.034000
Activity_1,PREEMPT,5941.324535,5941.324572,0.037000
Activity_1,PREEMPT,5941.341721,5941.341755,0.034000
Activity_1,PREEMPT,5941.343975,5941.344012,0.037000
Activity_1,PREEMPT,5941.345055,5941.345122,0.067000
Activity_1,PREEMPT,5941.364858,5941.364896,0.038000
Activity_1,PREEMPT,5941.415659,5941.415718,0.059000
Activity_1,PREEMPT,5941.430592,5941.430679,0.087000
Activity_1,PREEMPT,5941.430825,5941.430855,0.030000
Activity_1,PREEMPT,5941.431156,5941.431193,0.037000
