
[!] In attesa dello stream /sys/kernel/debug/tracing/trace_pipe...

================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
--------------------------------------------------------------
1596.676417     | [WAKEUP]   Task Activity_1 Rilasciato (Inizio Percorso 1)
1596.686187     | [WAKEUP]   Task Activity_2 Rilasciato (Inizio Percorso 1)
1596.725103     | [DISPATCH] Task Activity_1 prende la CPU
1596.827215     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 102.112 ms)
1596.827535     | [DISPATCH] Task Activity_1 prende la CPU
1596.929602     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 204.179 ms)
1596.929928     | [DISPATCH] Task Activity_1 prende la CPU
1597.031999     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 306.250 ms)
1597.032335     | [DISPATCH] Task Activity_1 prende la CPU
1597.134412     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 408.327 ms)
1597.134758     | [DISPATCH] Task Activity_1 prende la CPU
1597.236820     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 510.389 ms)
1597.237156     | [DISPATCH] Task Activity_1 prende la CPU
1597.339210     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 612.443 ms)
1597.339561     | [DISPATCH] Task Activity_1 prende la CPU
1597.441605     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 714.487 ms)
1597.441864     | [DISPATCH] Task Activity_1 prende la CPU
1597.544009     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 816.632 ms)
1597.544343     | [DISPATCH] Task Activity_1 prende la CPU
1597.574373     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 846.662 ms)
1597.574398     | [DISPATCH] Task Activity_1 prende la CPU
1597.574974     | [DISPATCH] Task Activity_2 prende la CPU
1597.646398     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 918.662 ms)
1597.646707     | [DISPATCH] Task Activity_1 prende la CPU
1597.748817     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1020.772 ms)
1597.749150     | [DISPATCH] Task Activity_1 prende la CPU
1597.750374     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 175.400 ms)
1597.750395     | [DISPATCH] Task Activity_2 prende la CPU
1597.814440     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 239.445 ms)
1597.814441     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1086.063 ms)
1597.814458     | [DISPATCH] Task Activity_1 prende la CPU
1597.814459     | [DISPATCH] Task Activity_2 prende la CPU
1597.865885     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 290.871 ms)
1597.865895     | [DISPATCH] Task Activity_2 prende la CPU
1597.865938     | [PREEMPT]  Task Activity_2 interrotto temporaneamente (Costo accumulato: 290.914 ms)
1597.953606     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1225.211 ms)
1597.953944     | [DISPATCH] Task Activity_1 prende la CPU
1598.056013     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1327.280 ms)
1598.056328     | [DISPATCH] Task Activity_1 prende la CPU
1598.136215     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1407.167 ms)
1598.136263     | [DISPATCH] Task Activity_1 prende la CPU
1598.136758     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1407.662 ms)
1598.137046     | [DISPATCH] Task Activity_1 prende la CPU
1598.138059     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1408.675 ms)
1598.138351     | [DISPATCH] Task Activity_1 prende la CPU
1598.141140     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 1411.464 ms)
1598.141229     | [DISPATCH] Task Activity_1 prende la CPU
